D4420;D4433;4U27;4U32;L4115;D4428
1093.8;1848.89;3.78;16.64;1.54;1181.18
1097.53;1897.28;3.77;16.65;1.53;1177.49
1093.53;1935.9;3.73;16.64;1.53;1177.71
1101.58;1998.96;3.74;16.75;1.54;1180.94
1103.64;2019.86;3.74;14.93;1.54;1185.77
1107.21;2004.3;3.74;14.33;1.53;1192.43
1102.09;1997.51;4.04;14.37;1.53;1196.32
1099.69;2005.73;4.38;14.37;1.53;1198.3
1108.68;2039.81;6.45;11.19;1.54;1197.6
1125.39;2063.05;8.47;12.71;1.53;1197.93
1127.22;2074.49;11.51;13.29;1.53;1208.5
1123.85;2093.78;13.96;11.68;1.53;1211.22
1102.47;2091.62;16.41;11.28;1.53;1211.18
1092.23;2079.69;19.12;11.24;1.53;1212.32
1088.38;2055.7;19.71;11.23;1.54;1211.65
1093.78;2010.3;20.91;11.28;1.53;1214.98
1100.55;1916.55;21.22;11.29;1.53;1213.29
1109.24;1832.05;20.85;11.47;1.53;1209.13
1101.93;1830.51;19.3;12.25;1.54;1195.44
1090.55;1904.12;17.63;14.56;1.54;1190.19
1088.38;1938.66;17.64;13.48;1.53;1195.05
1095.9;1927.44;17.64;10.58;1.53;1203.94
1105.28;1866.7;17.33;13.92;1.53;1198.98
1110.63;1834.56;14.66;14.1;1.53;1193.92
1111.02;1849.43;14.16;12.46;1.53;1191.83
1109.11;1921.43;14.15;13.37;1.53;1190.15
1111.05;1998.31;14.14;15.38;1.54;1189.58
1112.61;2025.39;14.14;15.38;1.54;1195.74
1114.41;2059.64;14.9;13.37;1.54;1201.38
1096.01;2039.04;16.38;11.89;1.54;1207.3
1087.21;1978.48;16.39;10.19;1.53;1211.59
1081.46;1907.65;16.39;12.29;1.53;1206.49
1072.94;1864.45;16.34;12.12;1.53;1202.16
1068.97;1795.95;13.23;10.93;1.53;1199.69
1083.31;1753.39;9.17;13.1;1.53;1187.51
1083.68;1784.15;6.46;13.23;1.53;1178.81
1086.25;1855.84;6.45;14.4;1.55;1172.15
1084.37;1890.8;6.23;16.8;1.54;1171.73
1074.14;1916.22;5.71;17.08;1.54;1177.54
1078.06;1926.4;5.67;16.3;1.53;1180.38
1099.83;1929.47;5.67;14.39;1.55;1180.08
1112.6;1949.22;5.67;14.33;1.54;1184.05
1125.97;1983.95;5.68;14.4;1.55;1188.61
1123.91;2039.96;5.68;14.39;1.54;1192.21
1129.38;2071.94;6.11;14.34;1.54;1195.79
1119.48;2102.74;9.25;14.28;1.53;1201.66
1100.04;2088.31;11.93;14.31;1.53;1206
1085.65;2062.92;12.51;12.47;1.53;1208.41
1086.55;2045.31;13.86;10.89;1.53;1208.48
1084.37;2012.35;15.11;11.21;1.53;1209.27
1082.82;1943.13;15.42;13.29;1.54;1209.81
1083.87;1896.27;15.42;11.05;1.54;1206.7
1088.88;1890.42;15.42;11.55;1.54;1199.82
1103.67;1864.67;15.3;14.12;1.53;1199.4
1099.7;1852.23;14.28;13.42;1.53;1194.06
1102.98;1865.84;13.75;11.5;1.54;1192.56
1101.89;1918.59;12.96;14.26;1.54;1185.88
1099.24;1947.39;12.96;14.97;1.53;1191.38
1108.17;1962.59;12.97;14.24;1.53;1200.07
1120.01;2002.09;12.96;11.78;1.54;1200.47
1132.25;2057.77;13.35;10.88;1.54;1200.92
1136.97;2074.06;15.36;13.43;1.54;1208.68
1119.38;2070.85;17.8;11.53;1.54;1212.47
1098.25;2042.95;18.29;10.98;1.54;1218.41
1078.76;1989.28;18.29;11.06;1.54;1214
1081.02;1926.6;18.29;11.01;1.54;1210.02
1078.74;1823.4;18.18;12.74;1.55;1207.84
1093.2;1792.97;15.4;14.06;1.53;1196.06
1095;1794.73;12.59;12.23;1.53;1191.79
1085.85;1811.69;10.07;14.92;1.53;1184.61
1075.95;1834.83;9.58;15.6;1.54;1183.67
1068.73;1855.69;8.4;15.58;1.53;1183.7
1070.74;1828.95;6.21;15.6;1.54;1185.13
1098.44;1811.45;2.68;15.21;1.53;1183.94
1109.43;1844.98;2.25;14.38;1.53;1179.1
1107.87;1911.61;2.23;14.61;1.54;1177.42
1097.24;1986.35;2.18;14.41;1.53;1176.33
1098.74;2021.64;2.19;14.39;1.54;1177.4
1090.13;2022.99;2.18;14.41;1.54;1182.57
1093.14;2006.99;2.19;13.6;1.54;1191.28
1099.58;1990.52;2.2;11.86;1.54;1193.12
1116.37;1977.51;2.21;13.79;1.54;1192.1
1118.84;1972.52;2.21;14.34;1.53;1188.12
1109.73;1993.38;2.47;14.35;1.53;1192
1097.61;2021.68;3.41;12.56;1.53;1193.03
1091.51;2038.88;5.44;12.62;1.53;1194.64
1104.27;2032.07;6.08;14.81;1.54;1195.16
1113.58;2034.59;8.08;14.43;1.53;1193.74
1116.48;2023.88;8.75;11.12;1.54;1197.38
1118.32;2008.37;9.62;11.78;1.57;1199.72
1121.22;2013.25;9.92;11.35;1.54;1205
1122.3;2047.83;12.03;13.54;1.54;1206.08
1127.31;2059.3;15.09;12.92;1.53;1206.49
1126.85;2057.12;16.95;11.3;1.54;1210.66
1105.91;2045.4;18.65;11.31;1.53;1214.94
1092.75;2021.23;18.99;11.27;1.54;1214.85
1084.21;1971.3;18.98;11.31;1.54;1213.76
1085.99;1923.57;18.99;11.41;1.53;1206.95
1102.99;1871.59;18.98;12.28;1.53;1203.12
1114.96;1843.47;18.99;13.65;1.53;1203.4
1111.42;1861.74;18.01;11.95;1.53;1195.57
1100.75;1866.01;16.59;11.98;1.54;1190.7
1089.37;1883.16;16.29;14.25;1.54;1188.18
1093.07;1898.31;16.02;14.12;1.54;1191.17
1104.9;1896.5;14.65;12.29;1.54;1193.42
1113.79;1884.17;13.37;12.22;1.54;1194.28
1125.71;1899.36;12.11;14.35;1.53;1196.29
1139.08;1976.36;12.11;14.85;1.53;1193.35
1129.72;2061.8;12.43;14.84;1.53;1192.95
1117.99;2106.03;15.35;14.03;1.54;1198.14
1115.7;2110.08;18.58;12.11;1.54;1210.49
1113.74;2076.27;21.4;11.98;1.54;1214.62
1102.73;2023.37;21.94;10.5;1.54;1217.78
1092.95;1943.81;21.93;10.23;1.53;1220.82
1090.67;1886.01;21.93;8.59;1.53;1218.97
1084.75;1870.92;21.94;10.68;1.53;1211.23
1091.24;1823.98;20.02;11.55;1.54;1204.44
1090.42;1752.5;14.18;11.34;1.54;1195.21
1088.86;1743.16;9.5;14.58;1.53;1184.6
1092.92;1741.96;5.73;15.24;1.53;1175.59
1090.96;1800.61;3.32;16.77;1.53;1174.35
1087.6;1872.05;3.31;16.85;1.56;1169.22
1092.1;1903.73;3.28;16.77;1.54;1168.43
1104.81;1935.26;3.27;16.77;1.54;1174.12
1104.1;1969.54;3.26;14.82;1.54;1178.62
1097.45;2003.84;3.25;14.29;1.53;1186.88
1089.93;2028.84;3.63;14.28;1.54;1189.81
1093.15;2042.21;4.95;14.25;1.55;1193.44
1093.5;2013.29;5.98;14.26;1.54;1197.94
1094.91;2000.86;6.01;14.29;1.53;1195.63
1099.6;1994.3;6.01;14.28;1.53;1194.3
1116.38;1994.73;6.21;11.47;1.54;1192.43
1113.64;1989.89;6.91;13.68;1.53;1193.12
1106.98;2015.73;8.19;14.47;1.54;1196.63
1108.14;2027.79;9.34;13.79;1.53;1198.05
1108.47;2024.41;10.56;12.22;1.55;1198.92
1099.98;2017.63;11.8;12.12;1.54;1204.47
1105.88;1991.47;12.05;12.16;1.53;1206.73
1125.68;1998.33;12.33;12.34;1.55;1209.06
1123.89;2047.92;14.71;12.29;1.54;1208.92
1125.71;2059.84;16.9;12.19;1.54;1213.49
1116.31;2073.32;19.13;12.22;1.54;1212.05
1105.23;2086.75;21.64;12.17;1.54;1220.1
1092.42;2040.49;23.45;10.89;1.54;1225.15
1084.97;1985.74;23.45;8.9;1.54;1223.72
1083.76;1908.84;23.44;9.04;1.53;1221.57
1081.44;1782.92;20.75;11.35;1.53;1210
1080.78;1683.62;12.72;12.12;1.53;1198.09
1087.53;1662.94;7.51;12.12;1.52;1182.81
1093.91;1748.39;3.48;15.49;1.53;1174.06
1103.28;1840.01;2.62;18.32;1.54;1176.9
1115.46;1909.45;2.57;18.76;1.55;1179.69
1123.32;1959.79;2.55;18.79;1.54;1177.61
1113.84;1993.15;2.57;17.17;1.53;1178.6
1116.89;2035.75;3.41;15.55;1.53;1184.64
1114.7;2031.88;4.69;12.81;1.55;1191.29
1113.78;2052.01;6.46;12.94;1.54;1200.65
1112.97;2068.15;8.38;12.86;1.54;1200.85
1110.69;2061.72;9.75;12.86;1.54;1201.09
1101.38;2068.82;11.39;12.82;1.56;1201.2
1097.28;2073.3;14.89;13.33;1.55;1209.52
1093.42;2044.19;15.39;11.21;1.54;1216.29
1100.17;2026.83;15.76;10.64;1.54;1214.74
1100.21;1989.91;16.62;13;1.53;1210.59
1106.23;1965.7;16.63;12.7;1.53;1209.96
1106.84;1937.24;16.62;10.64;1.54;1208.18
1103.62;1938.55;16.63;12.89;1.54;1204.76
1092.41;1943.66;16.62;12.9;1.53;1202.76
1088.89;1916.89;16.61;11.52;1.53;1201.92
1097.56;1920.25;16.61;12.37;1.54;1198.18
1094.05;1921.59;16.62;14.36;1.53;1201.74
1097.2;1918.13;16.61;14.35;1.53;1202.59
1104.14;1925.86;16.61;12.68;1.54;1204.04
1118.26;1933.58;16.62;12.21;1.54;1203.09
1121.01;1950.32;16.61;13.15;1.54;1203.21
1119.47;1960.98;16.62;15.36;1.53;1204.05
1105.19;1968.95;16.62;12.77;1.55;1201.6
1106.77;1981.28;16.61;12.01;1.54;1205.01
1107.13;1995.59;16.61;12.02;1.53;1201.14
1095.83;1959.75;16.61;14.52;1.53;1204.29
1087.08;1926.72;16.61;13.04;1.52;1205.68
1076.58;1858.26;16.6;12.53;1.53;1202.75
1068.09;1817.49;15.07;12.48;1.53;1199.15
1076.51;1789.57;11.8;13.22;1.52;1191.95
1085.46;1783.49;8.4;15.07;1.54;1180.33
1102.69;1827.69;6.58;15.04;1.53;1175.78
1098.13;1869.83;6.57;17.88;1.53;1179.57
1094.95;1922.75;6.56;18.53;1.53;1178.28
1097.04;1964.87;6.55;18.47;1.53;1179.62
1091.46;1980.27;6.56;17.71;1.53;1186.92
1098.24;1989.12;6.56;15.89;1.53;1189.64
1098.94;1991.19;6.56;15.08;1.53;1197.28
1099;2000.44;6.57;13.11;1.54;1193.25
1108.77;2017.46;6.59;13.05;1.54;1193.12
1105.34;2003.58;6.57;14.07;1.53;1198.09
1105.74;2009.65;6.81;16.44;1.53;1197.72
1106.33;2031.44;8.58;15.91;1.53;1196.2
1102.88;2035.06;9.47;14.12;1.56;1199.22
1093.1;2020.87;10.56;14.11;1.53;1204.87
1090.01;2002.63;10.55;13.7;1.53;1207
1090.83;1982.83;11.04;13.47;1.53;1206.29
1094.77;1943.82;11.17;11.01;1.53;1205.7
1093.86;1926.28;11.17;13.57;1.53;1200.92
1097.66;1895.94;11.16;14.36;1.53;1200.39
1100.87;1867.64;11.16;14.3;1.53;1198.81
1097.04;1886.17;11.16;13.22;1.52;1193.46
1095.43;1894.01;11.16;13.73;1.52;1194.11
1094.1;1896.42;11.05;15.51;1.53;1192.51
1088.92;1903.31;11.04;15.41;1.52;1193.93
1091.43;1911.85;11.04;15.36;1.52;1194.79
1088.83;1900.49;10.79;15.35;1.53;1192.36
1081.81;1891.36;9.54;15.42;1.52;1187.68
1078.04;1874.06;8.02;15.39;1.53;1183.61
1088.51;1866.41;6.83;15.41;1.53;1186.72
1090.65;1897.92;6.83;15.41;1.53;1185.02
1087.19;1919.93;6.83;17.35;1.53;1184.5
1081.06;1931.03;6.83;17.84;1.53;1185.29
1087.32;1941.78;6.83;17.86;1.53;1187.46
1099.55;1936.01;6.83;16.12;1.53;1187.63
1105.31;1943.4;6.83;15.67;1.53;1185.42
1110.19;1974.08;6.82;15.73;1.53;1183.02
1108.64;2009.62;6.82;15.72;1.53;1186.27
1099.48;2026.47;6.82;15.72;1.53;1191.74
1095.49;2033.86;6.83;15.71;1.53;1193.36
1088.14;2019.41;7.08;15.71;1.52;1198.24
1083.16;1988.51;7.15;15.73;1.53;1200.52
1083.34;1958.93;7.14;13.54;1.52;1200.32
1080.53;1925.57;7.14;14.18;1.53;1199.97
1070.99;1912.33;7.14;12.56;1.53;1194.72
1077.48;1881.49;7.14;13.32;1.53;1194.79
1070.97;1856.67;7.14;15.1;1.53;1191.3
1067.34;1839.17;6.54;15.04;1.53;1188.31
1070.82;1831.07;5.8;15.14;1.52;1181.91
1071.57;1823.63;2.41;15.1;1.53;1177.12
1075.8;1862.12;1.91;15.51;1.54;1173.31
1079.75;1880.93;1.91;18.68;1.53;1171.18
1082.19;1902.47;1.29;19.21;1.53;1170.43
1098.2;1925.78;1.11;19.52;1.53;1173
1097.92;1938.89;1.08;19.33;1.53;1172.41
1088.48;1963.94;1.08;19.23;1.53;1178.22
1091.63;1975.7;1.08;18.48;1.53;1180.37
1088.91;1997.87;1.1;16.74;1.53;1182.98
1098.87;2013.53;1.09;16.77;1.52;1181.16
1098.28;2007.13;1.08;16.72;1.53;1180.7
1090.25;2003.58;1.09;16.72;1.53;1184.87
1095.64;2016.41;1.28;16.71;1.52;1189.97
1089.14;2029.97;1.79;16.9;1.53;1194.12
1085.71;2033.83;2.35;16.75;1.53;1195.65
1089.21;2031.59;3.83;16.7;1.53;1193.49
1087.1;2015.4;4.9;15.64;1.53;1197
1090.11;2006.26;5.18;12.98;1.53;1204.07
1083.54;2017.24;6.17;12.97;1.53;1200.3
1086.22;2005.36;6.95;12.96;1.53;1199.13
1085.43;1987.81;6.95;13.01;1.53;1199.57
1086.23;1975.5;6.95;15.67;1.53;1199.21
1075.36;1963.46;6.94;16.36;1.53;1197.45
1076.61;1939.96;6.96;13.85;1.53;1196.03
1078.91;1927.61;6.95;13.25;1.53;1195.46
1075.5;1928.02;6.96;14.05;1.53;1191.76
1091.16;1907.18;6.95;16.03;1.53;1190.97
1097.47;1900.99;6.95;16.09;1.54;1188.17
1099.09;1920.98;6.95;16.06;1.53;1186.39
1103;1965.32;6.96;13.43;1.53;1190.02
1108.23;1957.77;6.95;12.87;1.53;1191.28
1106.62;1993.4;7.02;13.75;1.53;1192.52
1101.39;2007.05;7.73;15.86;1.53;1196.61
1083.09;2006.79;8.71;15.29;1.53;1200.22
1076.14;1988.74;9.3;13.78;1.53;1200.77
1082.67;1961.29;9.28;13.82;1.53;1201.11
1078.22;1936.46;9.28;13.85;1.53;1198.47
